"ENSEMBL_ID"	"Gene_Symbol"	"Gene_Length"	"CS52old.ISO_3"
"ENSG00000223972"	"DDX11L1"	1735	0
"ENSG00000227232"	"WASH7P"	1351	0
"ENSG00000278267"	"MIR6859-1"	68	4
"ENSG00000243485"	"MIR1302-2HG"	1021	0
"ENSG00000284332"	"MIR1302-2"	138	0
"ENSG00000237613"	"FAM138A"	1219	0
"ENSG00000268020"	"OR4G4P"	840	0
"ENSG00000240361"	"OR4G11P"	1414	0
"ENSG00000186092"	"OR4F5"	2618	0
"ENSG00000238009"	"AL627309.1"	3726	3
"ENSG00000239945"	"AL627309.3"	1319	0
"ENSG00000233750"	"CICP27"	3812	0
"ENSG00000268903"	"AL627309.6"	755	5
"ENSG00000269981"	"AL627309.7"	284	13
"ENSG00000239906"	"AL627309.2"	323	1
"ENSG00000241860"	"AL627309.5"	6195	4
"ENSG00000222623"	"RNU6-1100P"	104	0
"ENSG00000241599"	"AL627309.4"	457	0
"ENSG00000279928"	"FO538757.2"	570	0
"ENSG00000279457"	"FO538757.1"	1397	12
"ENSG00000273874"	"MIR6859-2"	68	0
"ENSG00000228463"	"AP006222.1"	8224	0
"ENSG00000236679"	"RPL23AP24"	385	0
"ENSG00000236601"	"AL732372.1"	1095	0
"ENSG00000237094"	"AL732372.2"	6204	49
"ENSG00000269732"	"WBP1LP7"	363	0
"ENSG00000284733"	"OR4F29"	995	0
"ENSG00000233653"	"CICP7"	2477	0
"ENSG00000250575"	"AL732372.3"	1239	0
"ENSG00000278757"	"RF00026"	104	0
"ENSG00000230021"	"AL669831.3"	5495	11
"ENSG00000235146"	"AC114498.1"	635	0
"ENSG00000225972"	"MTND1P23"	372	5
"ENSG00000225630"	"MTND2P28"	1044	3357
"ENSG00000237973"	"MTCO1P12"	1543	2764
"ENSG00000278791"	"MIR6723"	89	0
"ENSG00000229344"	"MTCO2P12"	682	112
"ENSG00000240409"	"MTATP8P1"	207	3
"ENSG00000248527"	"MTATP6P1"	681	13908
"ENSG00000198744"	"MTCO3P12"	547	32
"ENSG00000268663"	"WBP1LP6"	424	0
"ENSG00000284662"	"OR4F16"	995	0
"ENSG00000229376"	"CICP3"	2455	0
"ENSG00000228327"	"AL669831.1"	6432	35
"ENSG00000223181"	"RNU6-1199P"	104	0
"ENSG00000229905"	"AL669831.2"	456	0
"ENSG00000237491"	"AL669831.5"	5517	64
"ENSG00000285268"	"AL669831.7"	114	0
"ENSG00000230092"	"AL669831.4"	872	19
"ENSG00000177757"	"FAM87B"	1947	0
"ENSG00000228794"	"LINC01128"	9470	415
"ENSG00000225880"	"LINC00115"	1317	13
"ENSG00000230368"	"FAM41C"	1971	3
"ENSG00000234711"	"TUBB8P11"	1058	0
"ENSG00000283040"	"AL669831.6"	837	0
"ENSG00000272438"	"AL645608.6"	351	14
"ENSG00000230699"	"AL645608.2"	3043	91
"ENSG00000241180"	"AL645608.4"	443	1
"ENSG00000223764"	"LINC02593"	4152	171
"ENSG00000187634"	"SAMD11"	4166	190
"ENSG00000188976"	"NOC2L"	5539	1041
"ENSG00000187961"	"KLHL17"	3395	155
"ENSG00000187583"	"PLEKHN1"	2833	35
"ENSG00000187642"	"PERM1"	3424	1
"ENSG00000272512"	"AL645608.7"	2086	1
"ENSG00000188290"	"HES4"	1118	162
"ENSG00000187608"	"ISG15"	941	31
"ENSG00000231702"	"AL645608.3"	154	1
"ENSG00000224969"	"AL645608.1"	471	0
"ENSG00000188157"	"AGRN"	10758	8270
"ENSG00000242590"	"AL645608.5"	402	0
"ENSG00000217801"	"AL390719.1"	2171	17
"ENSG00000273443"	"AL645608.8"	829	0
"ENSG00000237330"	"RNF223"	1902	2
"ENSG00000131591"	"C1orf159"	6322	144
"ENSG00000285812"	"AL390719.3"	1095	1
"ENSG00000223823"	"LINC01342"	1620	0
"ENSG00000207730"	"MIR200B"	95	0
"ENSG00000207607"	"MIR200A"	90	0
"ENSG00000198976"	"MIR429"	83	0
"ENSG00000272141"	"AL390719.2"	987	1
"ENSG00000205231"	"TTLL10-AS1"	3532	0
"ENSG00000162571"	"TTLL10"	3943	0
"ENSG00000186891"	"TNFRSF18"	1370	1
"ENSG00000186827"	"TNFRSF4"	1721	0
