"ENSEMBL_ID"	"Gene_Symbol"	"Gene_Length"	"CS52new.ISO_4"	"CS52old.ISO_4a"	"CS52old.ISO_4b"
"ENSG00000223972"	"DDX11L1"	1735	0	0	0
"ENSG00000227232"	"WASH7P"	1351	0	1	0
"ENSG00000278267"	"MIR6859-1"	68	3	3	0
"ENSG00000243485"	"MIR1302-2HG"	1021	0	0	0
"ENSG00000284332"	"MIR1302-2"	138	0	0	0
"ENSG00000237613"	"FAM138A"	1219	0	0	0
"ENSG00000268020"	"OR4G4P"	840	0	0	0
"ENSG00000240361"	"OR4G11P"	1414	0	0	0
"ENSG00000186092"	"OR4F5"	2618	0	0	0
"ENSG00000238009"	"AL627309.1"	3726	2	5	4
"ENSG00000239945"	"AL627309.3"	1319	0	0	0
"ENSG00000233750"	"CICP27"	3812	0	0	0
"ENSG00000268903"	"AL627309.6"	755	20	0	3
"ENSG00000269981"	"AL627309.7"	284	25	4	4
"ENSG00000239906"	"AL627309.2"	323	0	0	0
"ENSG00000241860"	"AL627309.5"	6195	0	0	6
"ENSG00000222623"	"RNU6-1100P"	104	0	0	0
"ENSG00000241599"	"AL627309.4"	457	0	0	0
"ENSG00000279928"	"FO538757.2"	570	0	0	0
"ENSG00000279457"	"FO538757.1"	1397	13	6	6
"ENSG00000273874"	"MIR6859-2"	68	0	0	0
"ENSG00000228463"	"AP006222.1"	8224	0	0	0
"ENSG00000236679"	"RPL23AP24"	385	0	0	0
"ENSG00000236601"	"AL732372.1"	1095	0	0	0
"ENSG00000237094"	"AL732372.2"	6204	33	33	44
"ENSG00000269732"	"WBP1LP7"	363	0	0	0
"ENSG00000284733"	"OR4F29"	995	0	0	0
"ENSG00000233653"	"CICP7"	2477	0	0	0
"ENSG00000250575"	"AL732372.3"	1239	0	0	0
"ENSG00000278757"	"RF00026"	104	0	0	0
"ENSG00000230021"	"AL669831.3"	5495	6	4	6
"ENSG00000235146"	"AC114498.1"	635	0	0	0
"ENSG00000225972"	"MTND1P23"	372	3	4	2
"ENSG00000225630"	"MTND2P28"	1044	5118	2228	2521
"ENSG00000237973"	"MTCO1P12"	1543	2770	1243	1260
"ENSG00000278791"	"MIR6723"	89	1	0	0
"ENSG00000229344"	"MTCO2P12"	682	20	10	10
"ENSG00000240409"	"MTATP8P1"	207	3	0	2
"ENSG00000248527"	"MTATP6P1"	681	13522	7719	7566
"ENSG00000198744"	"MTCO3P12"	547	43	15	15
"ENSG00000268663"	"WBP1LP6"	424	0	0	0
"ENSG00000284662"	"OR4F16"	995	0	0	0
"ENSG00000229376"	"CICP3"	2455	0	0	0
"ENSG00000228327"	"AL669831.1"	6432	35	9	30
"ENSG00000223181"	"RNU6-1199P"	104	0	0	1
"ENSG00000229905"	"AL669831.2"	456	0	0	0
"ENSG00000237491"	"AL669831.5"	5517	22	25	60
"ENSG00000285268"	"AL669831.7"	114	0	0	0
"ENSG00000230092"	"AL669831.4"	872	12	3	7
"ENSG00000177757"	"FAM87B"	1947	1	0	1
"ENSG00000228794"	"LINC01128"	9470	333	171	173
"ENSG00000225880"	"LINC00115"	1317	8	5	6
"ENSG00000230368"	"FAM41C"	1971	0	0	1
"ENSG00000234711"	"TUBB8P11"	1058	0	0	0
"ENSG00000283040"	"AL669831.6"	837	0	0	0
"ENSG00000272438"	"AL645608.6"	351	0	6	3
"ENSG00000230699"	"AL645608.2"	3043	2	18	35
"ENSG00000241180"	"AL645608.4"	443	0	1	0
"ENSG00000223764"	"LINC02593"	4152	1	23	28
"ENSG00000187634"	"SAMD11"	4166	2	65	72
"ENSG00000188976"	"NOC2L"	5539	880	465	519
"ENSG00000187961"	"KLHL17"	3395	122	143	104
"ENSG00000187583"	"PLEKHN1"	2833	1	3	1
"ENSG00000187642"	"PERM1"	3424	0	0	0
"ENSG00000272512"	"AL645608.7"	2086	0	4	2
"ENSG00000188290"	"HES4"	1118	1	111	62
"ENSG00000187608"	"ISG15"	941	81	31	41
"ENSG00000231702"	"AL645608.3"	154	3	0	1
"ENSG00000224969"	"AL645608.1"	471	0	1	0
"ENSG00000188157"	"AGRN"	10758	201	2423	2072
"ENSG00000242590"	"AL645608.5"	402	0	0	0
"ENSG00000217801"	"AL390719.1"	2171	3	6	8
"ENSG00000273443"	"AL645608.8"	829	0	0	0
"ENSG00000237330"	"RNF223"	1902	0	0	0
"ENSG00000131591"	"C1orf159"	6322	77	46	67
"ENSG00000285812"	"AL390719.3"	1095	0	2	0
"ENSG00000223823"	"LINC01342"	1620	0	0	0
"ENSG00000207730"	"MIR200B"	95	0	0	0
"ENSG00000207607"	"MIR200A"	90	0	0	0
"ENSG00000198976"	"MIR429"	83	0	0	0
"ENSG00000272141"	"AL390719.2"	987	0	0	0
"ENSG00000205231"	"TTLL10-AS1"	3532	0	0	0
"ENSG00000162571"	"TTLL10"	3943	0	0	0
"ENSG00000186891"	"TNFRSF18"	1370	2	1	2
"ENSG00000186827"	"TNFRSF4"	1721	15	0	1
"ENSG00000078808"	"SDF4"	4709	2243	4040	4421
"ENSG00000176022"	"B3GALT6"	2816	519	289	435
"ENSG00000184163"	"C1QTNF12"	1794	3	10	13
"ENSG00000260179"	"AL162741.1"	1558	6	8	11
"ENSG00000160087"	"UBE2J2"	4712	801	529	626
"ENSG00000230415"	"LINC01786"	513	6	2	15
"ENSG00000162572"	"SCNN1D"	4025	10	30	50
"ENSG00000131584"	"ACAP3"	8809	280	462	533
"ENSG00000278073"	"MIR6726"	61	0	0	0
"ENSG00000169972"	"PUSL1"	2489	152	171	142
"ENSG00000127054"	"INTS11"	8220	643	613	708
"ENSG00000283712"	"MIR6727"	65	0	0	0
"ENSG00000240731"	"AL139287.1"	386	11	47	54
"ENSG00000224051"	"CPTP"	2556	195	124	135
"ENSG00000169962"	"TAS1R3"	3433	0	3	6
"ENSG00000107404"	"DVL1"	3814	190	693	663
"ENSG00000284372"	"MIR6808"	59	0	0	0
"ENSG00000162576"	"MXRA8"	3622	15	925	1173
"ENSG00000175756"	"AURKAIP1"	1669	716	473	478
"ENSG00000223663"	"NDUFB4P8"	367	1	0	0
"ENSG00000221978"	"CCNL2"	6850	2364	4532	4756
"ENSG00000224870"	"AL391244.1"	2525	233	71	142
"ENSG00000242485"	"MRPL20"	2788	1040	523	763
"ENSG00000264293"	"RN7SL657P"	293	0	0	0
"ENSG00000272455"	"AL391244.3"	1523	25	15	50
"ENSG00000235098"	"ANKRD65"	2644	0	2	1
"ENSG00000225905"	"AL391244.2"	543	0	0	0
"ENSG00000205116"	"TMEM88B"	492	0	0	0
"ENSG00000225285"	"LINC01770"	851	0	2	6
"ENSG00000179403"	"VWA1"	5065	18	86	107
"ENSG00000215915"	"ATAD3C"	3976	1	9	2
"ENSG00000160072"	"ATAD3B"	7682	292	278	231
"ENSG00000284740"	"AL645728.2"	660	1	1	1
"ENSG00000197785"	"ATAD3A"	3069	374	330	243
"ENSG00000205090"	"TMEM240"	1380	0	17	39
"ENSG00000160075"	"SSU72"	6925	2383	2089	2265
"ENSG00000215014"	"AL645728.1"	2349	36	4	22
"ENSG00000274481"	"AL691432.3"	400	0	0	0
"ENSG00000228594"	"FNDC10"	2085	308	85	113
"ENSG00000272106"	"AL691432.2"	2038	106	80	111
"ENSG00000197530"	"MIB2"	8767	260	479	476
"ENSG00000189409"	"MMP23B"	2273	0	44	71
"ENSG00000248333"	"CDK11B"	3488	368	236	231
"ENSG00000272004"	"FO704657.1"	400	1	0	1
"ENSG00000189339"	"SLC35E2B"	8395	643	552	793
"ENSG00000269737"	"AL691432.1"	1819	1	0	0
"ENSG00000215914"	"MMP23A"	1017	1	1	2
"ENSG00000008128"	"CDK11A"	4701	38	36	22
"ENSG00000268575"	"AL031282.2"	5079	58	48	97
"ENSG00000227775"	"AL031282.1"	2759	2	0	1
"ENSG00000215790"	"SLC35E2A"	7713	162	128	269
"ENSG00000008130"	"NADK"	5570	2507	473	702
"ENSG00000078369"	"GNB1"	6417	8486	8136	8088
"ENSG00000231050"	"AL109917.1"	906	2	0	1
"ENSG00000169885"	"CALML6"	2321	6	10	26
"ENSG00000178821"	"TMEM52"	1594	1	13	14
"ENSG00000142609"	"CFAP74"	10422	0	1	1
"ENSG00000233542"	"AL391845.2"	1954	0	0	0
"ENSG00000187730"	"GABRD"	5556	0	0	0
"ENSG00000226969"	"AL391845.1"	538	0	0	0
"ENSG00000067606"	"PRKCZ"	7636	47	163	205
"ENSG00000271806"	"AL590822.2"	4196	0	0	0
"ENSG00000182873"	"PRKCZ-AS1"	1734	0	12	23
"ENSG00000162585"	"FAAP20"	10916	280	332	341
"ENSG00000234396"	"AL590822.1"	326	0	1	0
"ENSG00000157933"	"SKI"	6080	1413	2663	2033
"ENSG00000116151"	"MORN1"	11337	33	52	116
"ENSG00000272161"	"AL589739.1"	493	0	1	0
"ENSG00000269896"	"AL513477.1"	2407	8	7	12
"ENSG00000272420"	"AL513477.2"	568	5	2	4
"ENSG00000157916"	"RER1"	5691	2409	2598	3628
"ENSG00000157911"	"PEX10"	3789	425	215	376
"ENSG00000149527"	"PLCH2"	10781	1	29	40
"ENSG00000224387"	"AL139246.1"	455	0	0	0
"ENSG00000229393"	"AL139246.4"	514	0	1	0
"ENSG00000157881"	"PANK4"	5107	362	413	384
"ENSG00000197921"	"HES5"	1306	0	0	0
"ENSG00000272449"	"AL139246.5"	1531	123	0	1
"ENSG00000238164"	"TNFRSF14-AS1"	6137	118	0	0
"ENSG00000157873"	"TNFRSF14"	6219	5661	0	190
"ENSG00000225931"	"AL139246.2"	1297	6	0	0
"ENSG00000228037"	"AL139246.3"	626	3	0	1
"ENSG00000157870"	"PRXL2B"	3371	847	97	166
"ENSG00000142606"	"MMEL1"	3844	3	1	0
"ENSG00000237058"	"AL831784.1"	373	1	0	0
"ENSG00000215912"	"TTC34"	8814	51	5	18
"ENSG00000285945"	"AC242022.2"	593	0	0	0
"ENSG00000283259"	"AC242022.1"	1565	0	0	0
"ENSG00000233234"	"AL592464.2"	607	0	0	0
"ENSG00000231630"	"AL592464.1"	429	0	0	0
"ENSG00000284745"	"AL589702.1"	1654	0	0	0
"ENSG00000169717"	"ACTRT2"	1421	0	0	0
"ENSG00000177133"	"LINC00982"	5600	0	0	0
"ENSG00000142611"	"PRDM16"	9767	0	12	16
"ENSG00000283572"	"MIR4251"	61	0	0	0
"ENSG00000226286"	"AL008733.1"	469	0	0	0
"ENSG00000279839"	"AL512383.1"	2677	0	0	0
"ENSG00000272235"	"AL590438.1"	3461	0	1	0
"ENSG00000130762"	"ARHGEF16"	5563	16	26	31
"ENSG00000272088"	"AL512413.1"	382	0	0	1
"ENSG00000162591"	"MEGF6"	7039	21	24	31
"ENSG00000207776"	"MIR551A"	96	0	0	0
"ENSG00000238260"	"AL513320.1"	622	1	1	2
"ENSG00000158109"	"TPRG1L"	2414	1290	1223	1292
"ENSG00000116213"	"WRAP73"	7604	255	172	197
"ENSG00000078900"	"TP73"	6763	24	2	3
"ENSG00000227589"	"AL136528.1"	754	1	0	0
"ENSG00000235131"	"AL136528.2"	351	0	0	0
"ENSG00000227372"	"TP73-AS1"	9701	328	443	664
"ENSG00000276189"	"RF02197"	161	0	0	0
"ENSG00000162592"	"CCDC27"	4285	0	0	0
"ENSG00000235169"	"SMIM1"	981	20	15	24
"ENSG00000130764"	"LRRC47"	4516	776	878	984
"ENSG00000266075"	"RN7SL574P"	297	0	0	2
"ENSG00000272153"	"AL365330.1"	531	2	0	13
"ENSG00000116198"	"CEP104"	7876	788	635	837
"ENSG00000169598"	"DFFB"	3870	164	60	96
"ENSG00000198912"	"C1orf174"	4388	449	469	447
"ENSG00000236423"	"LINC01134"	4064	10	1	2
"ENSG00000233304"	"LINC01346"	3894	0	0	0
"ENSG00000226374"	"LINC01345"	1852	0	0	0
"ENSG00000284668"	"AL805961.1"	1830	0	0	0
"ENSG00000284703"	"AL805961.2"	4817	1	0	0
"ENSG00000229280"	"EEF1DP6"	372	0	0	0
"ENSG00000235054"	"LINC01777"	2104	0	0	0
"ENSG00000284694"	"AL355602.1"	3402	0	0	0
"ENSG00000227169"	"Z98747.1"	356	0	0	0
"ENSG00000232596"	"LINC01646"	1994	0	0	0
"ENSG00000196581"	"AJAP1"	12405	6	250	164
"ENSG00000284739"	"BX005132.2"	464	0	0	0
"ENSG00000284674"	"BX005132.1"	1580	0	0	0
"ENSG00000231510"	"AL691497.1"	449	0	0	0
"ENSG00000284616"	"AL139823.1"	1225	0	0	0
"ENSG00000284692"	"Z98259.3"	2316	0	0	0
"ENSG00000284666"	"Z98259.2"	609	0	0	0
"ENSG00000260972"	"Z98259.1"	1697	0	0	0
"ENSG00000283356"	"Z97988.1"	135	0	0	0
"ENSG00000236948"	"AL365255.1"	1095	0	0	0
"ENSG00000264341"	"MIR4417"	73	0	0	0
"ENSG00000264101"	"MIR4689"	70	0	0	0
"ENSG00000131697"	"NPHP4"	13167	96	214	247
"ENSG00000069424"	"KCNAB2"	9534	5117	81	354
"ENSG00000116254"	"CHD5"	9890	3	25	6
"ENSG00000285629"	"AL031847.2"	663	0	0	0
"ENSG00000116251"	"RPL22"	4682	2823	3171	4466
"ENSG00000226944"	"AL031847.1"	378	2	4	4
"ENSG00000158286"	"RNF207"	6585	133	14	52
"ENSG00000116237"	"ICMT"	4910	1551	1854	2341
"ENSG00000225077"	"LINC00337"	2358	7	0	2
"ENSG00000173673"	"HES3"	697	0	0	0
"ENSG00000158292"	"GPR153"	4082	42	169	130
"ENSG00000097021"	"ACOT7"	4124	219	278	197
"ENSG00000271746"	"AL031848.2"	837	1	2	0
"ENSG00000069812"	"HES2"	5407	2	3	2
"ENSG00000187017"	"ESPN"	6952	0	0	2
"ENSG00000265392"	"MIR4252"	63	0	0	0
"ENSG00000231868"	"AL031848.1"	351	0	0	0
"ENSG00000215788"	"TNFRSF25"	4283	4	100	100
"ENSG00000171680"	"PLEKHG5"	7053	22	232	247
"ENSG00000162408"	"NOL9"	7293	630	357	548
"ENSG00000253022"	"RNU6-731P"	111	0	0	0
"ENSG00000229519"	"AL591866.1"	401	0	0	0
"ENSG00000173662"	"TAS1R1"	2892	0	0	0
"ENSG00000204859"	"ZBTB48"	4503	479	100	177
"ENSG00000162413"	"KLHL21"	6901	780	741	473
"ENSG00000116273"	"PHF13"	3681	287	1492	1020
"ENSG00000041988"	"THAP3"	4072	122	146	134
"ENSG00000007923"	"DNAJC11"	5083	1325	633	856
"ENSG00000228750"	"LINC01672"	2188	0	1	0
"ENSG00000284744"	"AL591163.1"	987	0	1	0
"ENSG00000237436"	"CAMTA1-DT"	415	12	2	3
"ENSG00000171735"	"CAMTA1"	10033	474	778	451
"ENSG00000227950"	"AL590128.1"	286	0	0	0
"ENSG00000237365"	"AL512330.1"	349	0	0	0
"ENSG00000207056"	"RNU1-8P"	165	0	0	0
"ENSG00000237402"	"CAMTA1-IT1"	365	0	0	0
"ENSG00000237728"	"Z97987.1"	744	0	0	0
"ENSG00000225126"	"AL365194.1"	361	0	0	0
"ENSG00000270171"	"AL359881.3"	1721	0	0	2
"ENSG00000270035"	"AL359881.2"	570	0	0	0
"ENSG00000269978"	"AL359881.1"	267	0	2	2
"ENSG00000049245"	"VAMP3"	2760	2546	2739	3165
